port,name,description,wellknown,common
448,ddm-ssl,DDM-Remote DB Access Using Secure Sockets,1,0
449,as-servermap,AS Server Mapper,1,0
450,tserver,Computer Supported Telecomunication Applications,1,0
451,sfs-smp-net,Cray Network Semaphore server,1,0
452,sfs-config,Cray SFS config server,1,0
453,creativeserver,CreativeServer,1,0
454,contentserver,ContentServer,1,0
455,creativepartnr,CreativePartnr,1,0
456,macon-tcp,macon-tcp,1,0
457,scohelp,scohelp,1,0
458,appleqtc,apple quick time,1,1
459,ampr-rcmd,ampr-rcmd,1,0
460,skronk,skronk,1,0
461,datasurfsrv,DataRampSrv,1,0
462,datasurfsrvsec,DataRampSrvSec,1,0
463,alpes,alpes,1,0
464,kpasswd,kpasswd,1,1
465,submissions,Message Submission over TLS protocol,1,1
466,digital-vrc,digital-vrc,1,0
467,mylex-mapd,mylex-mapd,1,0
468,photuris,proturis,1,0
469,rcp,Radio Control Protocol,1,0
470,scx-proxy,scx-proxy,1,0
471,mondex,Mondex,1,0
472,ljk-login,ljk-login,1,0
473,hybrid-pop,hybrid-pop,1,0
474,tn-tl-w1,tn-tl-w1,1,0
475,tcpnethaspsrv,tcpnethaspsrv,1,0
476,tn-tl-fd1,tn-tl-fd1,1,0
477,ss7ns,ss7ns,1,0
478,spsc,spsc,1,0
479,iafserver,iafserver,1,0
480,iafdbase,iafdbase,1,0
481,ph,Ph service,1,1
482,bgs-nsi,bgs-nsi,1,0
483,ulpnet,ulpnet,1,0
484,integra-sme,Integra Software Management Environment,1,0
485,powerburst,Air Soft Power Burst,1,0
486,avian,avian,1,0
487,saft,saft Simple Asynchronous File Transfer,1,0
488,gss-http,gss-http,1,0
489,nest-protocol,nest-protocol,1,0
490,micom-pfs,micom-pfs,1,0
491,go-login,go-login,1,0
492,ticf-1,Transport Independent Convergence for FNA,1,0
493,ticf-2,Transport Independent Convergence for FNA,1,0
494,pov-ray,POV-Ray,1,0
495,intecourier,intecourier,1,0
496,pim-rp-disc,PIM-RP-DISC,1,0
497,retrospect,Retrospect backup and restore service,1,1
498,siam,siam,1,0
499,iso-ill,ISO ILL Protocol,1,0
500,isakmp,isakmp,1,1
501,stmf,STMF,1,0
502,mbap,Modbus Application Protocol,1,0
503,intrinsa,Intrinsa,1,0
504,citadel,citadel,1,0
505,mailbox-lm,mailbox-lm,1,0
506,ohimsrv,ohimsrv,1,0
507,crs,crs,1,0
508,xvttp,xvttp,1,0
509,snare,snare,1,0
510,fcp,FirstClass Protocol,1,0
511,passgo,PassGo,1,0
512,exec,remote process execution; authentication performed using passwords and UNIX login names,1,1
513,login,"Remote login service with host-based authentication.",0,1
514,shell,"Remote shell command execution.",1,1
515,printer,spooler,1,1
516,videotex,videotex,1,0
517,talk,"Terminal-based real-time chat service.",0,0
518,ntalk,,1,0
519,utime,unixtime,1,0
520,efs,extended file name server,1,0
521,ripng,ripng,1,0
522,ulp,ULP,1,0
523,ibm-db2,IBM-DB2,1,0
524,ncp,NCP,1,1
525,timed,timeserver,1,0
526,tempo,newdate,1,0
527,stx,Stock IXChange,1,0
528,custix,Customer IXChange,1,0
529,irc-serv,IRC-SERV,1,0
530,courier,rpc,1,0
531,conference,chat,1,0
532,netnews,readnews,1,0
533,netwall,for emergency broadcasts,1,0
534,windream,windream Admin,1,0
535,iiop,iiop,1,0
536,opalis-rdv,opalis-rdv,1,0
537,nmsp,Networked Media Streaming Protocol,1,0
538,gdomap,gdomap,1,0
539,apertus-ldp,Apertus Technologies Load Determination,1,0
540,uucp,uucpd,1,0
541,uucp-rlogin,uucp-rlogin,1,1
542,commerce,commerce,1,0
543,klogin,,1,1
544,kshell,krcmd,1,1
545,appleqtcsrvr,appleqtcsrvr,1,1
546,dhcpv6-client,DHCPv6 Client,1,0
547,dhcpv6-server,DHCPv6 Server,1,0
548,afpovertcp,AFP over TCP,1,1
549,idfp,IDFP,1,0
550,new-rwho,new-who,1,0
551,cybercash,cybercash,1,0
552,devshr-nts,DeviceShare,1,0
553,pirp,pirp,1,0
554,rtsp,Real Time Streaming Protocol (RTSP),1,1
555,dsf,,1,1
556,remotefs,rfs server,1,0
557,openvms-sysipc,openvms-sysipc,1,0
558,sdnskmp,SDNSKMP,1,0
559,teedtap,TEEDTAP,1,0
560,rmonitor,rmonitord,1,0
561,monitor,,1,0
562,chshell,chcmd,1,0
563,nntps,nntp protocol over TLS/SSL (was snntp),1,1
564,9pfs,plan 9 file service,1,0
565,whoami,whoami,1,0
566,streettalk,streettalk,1,0
567,banyan-rpc,banyan-rpc,1,0
568,ms-shuttle,microsoft shuttle,1,0
569,ms-rome,microsoft rome,1,0
570,meter,demon,1,0
571,meter,udemon,1,0
572,sonar,sonar,1,0
573,banyan-vip,banyan-vip,1,0
574,ftp-agent,FTP Software Agent System,1,0
575,vemmi,VEMMI,1,0
576,ipcd,ipcd,1,0
577,vnas,vnas,1,0
578,ipdd,ipdd,1,0
579,decbsrv,decbsrv,1,0
580,sntp-heartbeat,SNTP HEARTBEAT,1,0
581,bdp,Bundle Discovery Protocol,1,0
582,scc-security,SCC Security,1,0
583,philips-vc,Philips Video-Conferencing,1,0
584,keyserver,Key Server,1,0
586,password-chg,Password Change,1,0
587,submission,Message Submission,1,1
588,cal,CAL,1,0
589,eyelink,EyeLink,1,0
590,tns-cml,TNS CML,1,0
591,http-alt,"Alternate HTTP port used by FileMaker Web Sharing.",1,0
592,eudora-set,Eudora Set,1,0
593,http-rpc-epmap,HTTP RPC Ep Map,1,1
594,tpip,TPIP,1,0
595,cab-protocol,CAB Protocol,1,0
596,smsd,SMSD,1,0
597,ptcnameservice,PTC Name Service,1,0
598,sco-websrvrmg3,SCO Web Server Manager 3,1,0
599,acp,Aeolon Core Protocol,1,0
600,ipcserver,Sun IPC server,1,0
601,syslog-conn,Reliable Syslog Service,1,0
602,xmlrpc-beep,XML-RPC over BEEP,1,0
603,idxp,IDXP,1,0
604,tunnel,TUNNEL,1,0
605,soap-beep,SOAP over BEEP,1,0
606,urm,Cray Unified Resource Manager,1,0
607,nqs,nqs,1,0
608,sift-uft,Sender-Initiated/Unsolicited File Transfer,1,0
609,npmp-trap,npmp-trap,1,0
610,npmp-local,npmp-local,1,0
611,npmp-gui,npmp-gui,1,0
612,hmmp-ind,HMMP Indication,1,0
613,hmmp-op,HMMP Operation,1,0
614,sshell,SSLshell,1,0
615,sco-inetmgr,Internet Configuration Manager,1,0
616,sco-sysmgr,SCO System Administration Server,1,1
617,sco-dtmgr,SCO Desktop Administration Server,1,1
618,dei-icda,DEI-ICDA,1,0
619,compaq-evm,Compaq EVM,1,0
620,sco-websrvrmgr,SCO WebServer Manager,1,0
621,escp-ip,ESCP,1,0
622,collaborator,Collaborator,1,0
623,oob-ws-http,DMTF out-of-band web services management protocol,1,0
624,cryptoadmin,Crypto Admin,1,0
625,dec_dlm,DEC DLM,1,1
626,asia,ASIA,1,0
627,passgo-tivoli,PassGo Tivoli,1,0
628,qmqp,QMQP,1,0
629,3com-amp3,3Com AMP3,1,0
630,rda,RDA,1,0
631,ipps,Internet Printing Protocol over HTTPS,1,1
632,bmpp,bmpp,1,0
633,servstat,Service Status update (Sterling Software),1,0
634,ginad,ginad,1,0
635,rlzdbase,RLZ DBase,1,0
636,ldaps,ldap protocol over TLS/SSL (was sldap),1,1
637,lanserver,lanserver,1,0
638,mcns-sec,mcns-sec,1,0
639,msdp,MSDP,1,0
640,entrust-sps,entrust-sps,1,0
641,repcmd,repcmd,1,0
642,esro-emsdp,ESRO-EMSDP V1.3,1,0
643,sanity,SANity,1,0
644,dwr,dwr,1,0
645,pssc,PSSC,1,0
646,ldp,LDP,1,1
647,dhcp-failover,DHCP Failover,1,0
648,rrp,Registry Registrar Protocol (RRP),1,1
649,cadview-3d,Cadview-3d - streaming 3d models over the internet,1,0
650,obex,OBEX,1,0
651,ieee-mms,IEEE MMS,1,0
652,hello-port,HELLO_PORT,1,0
653,repscmd,RepCmd,1,0
654,aodv,AODV,1,0
655,tinc,TINC,1,0
656,spmp,SPMP,1,0
657,rmc,RMC,1,0
658,tenfold,TenFold,1,0
660,mac-srvr-admin,MacOS Server Admin,1,0
661,hap,HAP,1,0
662,pftp,PFTP,1,0
663,purenoise,PureNoise,1,0
664,oob-ws-https,DMTF out-of-band secure web services management protocol,1,0
665,sun-dr,Sun DR,1,0
666,doom,doom Id Software,1,1
667,disclose,campaign contribution disclosures - SDR Technologies,1,1
668,mecomm,MeComm,1,1
669,meregister,MeRegister,1,0
670,vacdsm-sws,VACDSM-SWS,1,0
671,vacdsm-app,VACDSM-APP,1,0
672,vpps-qua,VPPS-QUA,1,0
673,cimplex,CIMPLEX,1,0
674,acap,ACAP,1,0
675,dctp,DCTP,1,0
676,vpps-via,VPPS Via,1,0
677,vpp,Virtual Presence Protocol,1,0
678,ggf-ncp,GNU Generation Foundation NCP,1,0
679,mrm,MRM,1,0
680,entrust-aaas,entrust-aaas,1,0
681,entrust-aams,entrust-aams,1,0
682,xfr,XFR,1,0
683,corba-iiop,CORBA IIOP,1,1
